timestamp,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0.000000,0.002245,0.999745,-0.022483,-0.004286,-0.997083,0.003954,0.076228,0.000578,0.076297,0.022246,0.996837,-0.006017,0.000000,0.000000,0.000000,1.000000
0.016674,0.002455,0.999711,-0.023910,-0.004520,-0.997016,0.004291,0.077073,0.000709,0.077153,0.023650,0.996739,-0.006733,0.000000,0.000000,0.000000,1.000000
0.033347,0.002124,0.999699,-0.024449,-0.004408,-0.996940,0.004028,0.078061,0.000829,0.078136,0.024208,0.996649,-0.007238,0.000000,0.000000,0.000000,1.000000
0.050021,0.001898,0.999682,-0.025134,-0.004197,-0.996846,0.003885,0.079263,0.000982,0.079336,0.024904,0.996537,-0.007649,0.000000,0.000000,0.000000,1.000000
0.066695,0.001905,0.999652,-0.026311,-0.003964,-0.996759,0.004014,0.080344,0.001174,0.080421,0.026073,0.996420,-0.007963,0.000000,0.000000,0.000000,1.000000
0.083368,0.000386,0.999558,-0.029724,-0.004643,-0.996948,0.002705,0.078022,0.001284,0.078068,0.029603,0.996509,-0.007966,0.000000,0.000000,0.000000,1.000000
0.100042,0.001381,0.999531,-0.030595,-0.007337,-0.997046,0.003726,0.076722,0.001208,0.076800,0.030399,0.996583,-0.007238,0.000000,0.000000,0.000000,1.000000
0.116716,0.001443,0.999552,-0.029879,-0.008084,-0.997124,0.003702,0.075693,0.001368,0.075770,0.029684,0.996683,-0.007061,0.000000,0.000000,0.000000,1.000000
0.133389,0.001124,0.999580,-0.028964,-0.008197,-0.997146,0.003307,0.075422,0.001601,0.075486,0.028797,0.996731,-0.007093,0.000000,0.000000,0.000000,1.000000
0.150063,0.000730,0.999599,-0.028299,-0.008103,-0.997146,0.002864,0.075447,0.001840,0.075498,0.028163,0.996748,-0.007184,0.000000,0.000000,0.000000,1.000000
0.166737,0.000245,0.999609,-0.027979,-0.007932,-0.997178,0.002345,0.075034,0.002057,0.075070,0.027881,0.996788,-0.007250,0.000000,0.000000,0.000000,1.000000
0.183411,0.002321,0.999527,-0.030678,-0.008310,-0.997407,0.004521,0.071820,0.002645,0.071924,0.030432,0.996946,-0.007670,0.000000,0.000000,0.000000,1.000000
0.200084,0.001779,0.999539,-0.030322,-0.008352,-0.997485,0.003922,0.070774,0.002960,0.070861,0.030120,0.997031,-0.007838,0.000000,0.000000,0.000000,1.000000
0.216758,0.001525,0.999543,-0.030197,-0.008308,-0.997523,0.003644,0.070251,0.003178,0.070329,0.030015,0.997072,-0.008002,0.000000,0.000000,0.000000,1.000000
0.233432,0.001413,0.999544,-0.030153,-0.008239,-0.997528,0.003527,0.070176,0.003342,0.070251,0.029979,0.997079,-0.008216,0.000000,0.000000,0.000000,1.000000
0.250105,0.001164,0.999548,-0.030052,-0.008146,-0.997524,0.003274,0.070244,0.003460,0.070311,0.029896,0.997077,-0.008466,0.000000,0.000000,0.000000,1.000000
0.266779,0.000747,0.999541,-0.030291,-0.008047,-0.997523,0.002875,0.070283,0.003542,0.070338,0.030163,0.997067,-0.008719,0.000000,0.000000,0.000000,1.000000
0.283453,0.006675,0.999438,-0.032854,-0.009564,-0.997633,0.008904,0.068185,0.003925,0.068439,0.032321,0.997132,-0.009524,0.000000,0.000000,0.000000,1.000000
0.300126,0.006962,0.999448,-0.032477,-0.010159,-0.997625,0.009168,0.068259,0.004143,0.068520,0.031924,0.997139,-0.010016,0.000000,0.000000,0.000000,1.000000
0.316800,0.007206,0.999468,-0.031822,-0.010449,-0.997622,0.009367,0.068289,0.004313,0.068551,0.031254,0.997158,-0.010440,0.000000,0.000000,0.000000,1.000000
0.333474,0.007351,0.999472,-0.031650,-0.010659,-0.997619,0.009501,0.068307,0.004465,0.068571,0.031073,0.997162,-0.010830,0.000000,0.000000,0.000000,1.000000
0.350147,0.007354,0.999471,-0.031672,-0.010849,-0.997608,0.009510,0.068466,0.004619,0.068731,0.031092,0.997151,-0.011227,0.000000,0.000000,0.000000,1.000000
